Study,Test,drug,drugType,N,es,se_es,es.id
Bosker et al. (2010),RIP,mdma,mdma,16,-0.349,0.3563,id.1
Curran & Travill (1997),PR,mdma,mdma,24,-0.4525,0.369795918367347,id.2
Curran & Travill (1997),SeSe,mdma,mdma,24,-1.3071,0.402295918367347,id.3
de Sousa Fernandes Perna et al. (2014),VVLT,mdma,mdma,15,-1.3918,0.406989795918367,id.4
de Sousa Fernandes Perna et al. (2014),PMT,mdma,mdma,15,-0.6507,0.374642857142857,id.5
de Sousa Fernandes Perna et al. (2014),SMT,mdma,mdma,15,2.335,0.473469387755102,id.6
de Sousa Fernandes Perna et al. (2014),AVPLT,mdma,mdma,15,-1.4543,0.410612244897959,id.7
Kloft et al. (2022),DRM,mdma,mdma,60,-3,0.2707,id.8
Kuypers & Wingen & Ramaekers (2008),SpMT,mdma,mdma,14,-1.6353,0.436581632653061,id.9
Kuypers & Wingen & Ramaekers (2008),SMT,mdma,mdma,14,-1.5734,0.4325,id.10
Kuypers & Wingen & Ramaekers (2008),SCT,mdma,mdma,14,-3.528,0.604285714285714,id.11
Kuypers & Ramaekers (2006),SpMT,mdma,mdma,18,-1.3029,0.367,id.12
Kuypers et al. (2011),WLT,mdma,mdma,14,-1.8613,0.4524,id.13
Kuypers et al. (2013),WLT,mdma,mdma,14,0.7741,0.355612244897959,id.14
Kuypers et al. (2013),CRMT,mdma,mdma,14,-1.7337,0.402295918367347,id.15
Kuypers et al. (2013),SpMT,mdma,mdma,14,-2.2421,0.437704081632653,id.16
Kuypers et al. (2013),SMT,mdma,mdma,14,0.3447,0.345510204081633,id.17
Kuypers et al. (2013),PMT,mdma,mdma,14,-1.2116,0.373112244897959,id.18
Kuypers et al. (2014),WLT,mdma,mdma,20,-1.9387,0.3834,id.19
Ramaekers et al. (2009),PMT,mdma,mdma,12,-0.5058,0.6728,id.20
Stough et al. (2012),SpMT,mdma,mdma,61,-0.3028,0.182091836734694,id.21
Stough et al. (2012),NWM,mdma,mdma,61,-0.4243,0.183061224489796,id.22
Mallaroni et al. (2023),SpMT,2cb,psychedelic,22,-0.91,0.3635,id.23
Mallaroni et al. (2023),SpMT,psilocybin,psychedelic,22,-1.385,0.3915,id.24
Nikoli? et al. (2023),GMLT,psilocybin,psychedelic,17,0.154,0.3435,id.25
Pokorny et al. (2019),SpMT,LSD,psychedelic,25,-0.7054,0.2915,id.26
Silverstein & Klee (1960),DS,LSD,psychedelic,24,-1.0342,0.3073,id.27
Wittmann et al. (2007),BT,psilocybin,psychedelic,12,-1.0081,0.4334,id.28
